instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.8172616228718668,0.8172616228718668,0.6454630495790459,0.07692307692307693,0.002013693113169553,1.0,0.0,0.75,0.34615384615384615,0.6,0.7834294508690044,1.2942252140985289,1.0865742919807706,1.1381938765243955,1.1529112462780071,1.098589827470073,1.2183746558138875
2,0.06132149094410255,0.061321490944102275,0.31016042780748665,0.23076923076923078,0.0004027386226339106,0.0,0.999999999999506,0.75,0.5769230769230769,0.2,1.0380067796292216,0.2283488535488377,0.32791049689820045,0.30033887431126693,0.20469031387650102,0.3131405248017016,0.21943590102403154
3,0.14455645836216935,0.14455645836216924,0.34860557768924305,0.15384615384615385,0.0,0.0,0.40828402366863903,0.75,0.6923076923076923,0.2,0.4376540090748618,0.3955764546371138,0.26831702939649427,0.24539376847805885,0.4903635334807957,0.26845269905492314,0.3281417802889963
4,0.004852743044162833,0.004852743044162722,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.5,0.2,0.3169586460195333,0.24844621780853218,0.23386427071382535,0.22949233222103968,0.21989193073081603,0.227626900327217,0.3278070596392987
5,0.07516459610583437,0.07516459610583431,0.3545369504209541,0.07692307692307693,0.0,1.0,0.0,0.75,0.5,0.2,0.6481138975725916,0.3520469648650757,0.5276174186368904,0.5128620032418597,0.42819561495129904,0.5223797262400941,0.37158545091354567
6,0.8012391621240704,0.8012391621240701,0.31016042780748665,0.15384615384615385,0.0,1.0,0.0,0.75,0.5,0.6,0.56195698024768,0.3474856884071935,0.5047361290369988,0.4708222164801264,0.3359957189202303,0.48572737042062003,0.26883491145008737
7,0.005299344954833418,0.005299344954833751,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.38461538461538464,0.0,0.3031433448235569,0.2608746345859933,0.22540434927435113,0.22261586778861253,0.2315724770230429,0.21993575261855566,0.36564003962099134
8,0.14199356720641576,0.14199356720641593,0.23450586264656614,0.07692307692307693,0.0,0.0,0.0,0.75,0.5769230769230769,0.0,0.3086315328523614,0.2721240187996104,0.332787269224172,0.30621183541034347,0.32214022115531693,0.3365644141399041,0.3336827275993541
9,0.9982666419862171,0.998266641986217,0.7654941373534339,0.15384615384615385,0.0024164317358034634,1.0,0.6666666666666667,0.75,0.6153846153846154,1.0,1.1091380536273745,1.3857701601009347,1.412228168658509,1.4636409481714783,1.636885922550376,1.5045736416112994,1.21328311718798
10,0.5770180722161673,0.5770180722161671,0.31016042780748665,0.15384615384615385,0.0,0.3333333333333333,0.0,0.75,0.6538461538461539,0.4,0.3774809962368095,0.3008960480608247,0.4348177360917901,0.3942428357057011,0.30387063029497097,0.43627317039116476,0.3548983107005487
